URL,Source,Medium,Campaign Name,Term,Content,Final URL,Bit.ly (Not Instant),Deal ID Number,Notes
https://app.leveredge.org/refinance-campaign,email,p_partner,ada,max,1,https://app.leveredge.org/refinance-campaign?utm_source=email&utm_medium=p_partner&utm_campaign=ada&utm_term=max&utm_content=1,https://bit.ly/3eDRFh0,,
https://app.leveredge.org/refinance-campaign,email,p_partner,ada,space,1,https://app.leveredge.org/refinance-campaign?utm_source=email&utm_medium=p_partner&utm_campaign=ada&utm_term=space&utm_content=1,https://bit.ly/2XVTq3i,,
https://leveredge.org/,email,p_partner,clearadmit,campaign2,email1,https://leveredge.org/?utm_source=email&utm_medium=p_partner&utm_campaign=clearadmit&utm_term=campaign2&utm_content=email1,https://bit.ly/2ytJhjI,,
https://leveredge.org/,email,cfp,cfp_2020,nick,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=cfp&utm_campaign=cfp_2020&utm_term=nick&utm_content=campaign_1,https://bit.ly/34YdH9Z,,
https://leveredge.org/leveredge-w-scholarship-2020,email,cfp,scholarship,nick,campaign_1,https://leveredge.org/leveredge-w-scholarship-2020?utm_source=email&utm_medium=cfp&utm_campaign=scholarship&utm_term=nick&utm_content=campaign_1,https://bit.ly/2Krb2Mq,,
https://leveredge.org/leveredge-w-scholarship-2020,facebook,std_grp_prspct,scholarship,helene_nick,personal_network,https://leveredge.org/leveredge-w-scholarship-2020?utm_source=facebook&utm_medium=std_grp_prspct&utm_campaign=scholarship&utm_term=helene_nick&utm_content=personal_network,https://bit.ly/2S5hEUP,,
https://app.leveredge.org/refinance-campaign,email,up_partner,rutgers,helene,campaign_1,https://app.leveredge.org/refinance-campaign?utm_source=email&utm_medium=up_partner&utm_campaign=rutgers&utm_term=helene&utm_content=campaign_1,https://bit.ly/3cEzNRi,1919150459,
https://leveredge.org/leveredge-w-scholarship-2020,email,std_grp_prspct,scholarship,helene_nick,std_gvt,https://leveredge.org/leveredge-w-scholarship-2020?utm_source=email&utm_medium=std_grp_prspct&utm_campaign=scholarship&utm_term=helene_nick&utm_content=std_gvt,https://bit.ly/2S2Iugz,,
https://leveredge.org/,email,std_grp_prspct,University_of_Michigan,helene,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=std_grp_prspct&utm_campaign=University_of_Michigan&utm_term=helene&utm_content=campaign_1,https://bit.ly/2VvZ9Lj,,
https://leveredge.org/,email,std_grp_prspct,Brandeis,helene,abigail_werner,https://leveredge.org/?utm_source=email&utm_medium=std_grp_prspct&utm_campaign=Brandeis&utm_term=helene&utm_content=abigail_werner,https://bit.ly/2VVIU9B,,
https://leveredge.org/,email,up_partner,Temple_law,helene,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=up_partner&utm_campaign=Temple_law&utm_term=helene&utm_content=campaign_1,https://bit.ly/3eFPd9T,1920011402,
https://leveredge.org/,email,p_partner,forte,launch_email,text,https://leveredge.org/?utm_source=email&utm_medium=p_partner&utm_campaign=forte&utm_term=launch_email&utm_content=text,https://bit.ly/2yIntRa,,
https://app.leveredge.org/search-mba-scholarships,email,p_partner,forte,launch_email,scholarships,https://app.leveredge.org/search-mba-scholarships?utm_source=email&utm_medium=p_partner&utm_campaign=forte&utm_term=launch_email&utm_content=scholarships,https://bit.ly/2KGIgaN,,
https://app.leveredge.org/search-mba-scholarships,email,p_partner,forte,connect_post,scholarships,https://app.leveredge.org/search-mba-scholarships?utm_source=email&utm_medium=p_partner&utm_campaign=forte&utm_term=connect_post&utm_content=scholarships,https://bit.ly/3bOXd6I,,
https://leveredge.org/,email,p_partner,forte,connect_post,text,https://leveredge.org/?utm_source=email&utm_medium=p_partner&utm_campaign=forte&utm_term=connect_post&utm_content=text,https://bit.ly/3eF6EXY,,
https://leveredge.org/,email,p_partner,socal_financial_planning,nick,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=p_partner&utm_campaign=socal_financial_planning&utm_term=nick&utm_content=campaign_1,https://bit.ly/2S2glpI,1888821734,Sylvia Carthuers
https://leveredge.org/,email,p_partner,way_to_the_quad,nick,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=p_partner&utm_campaign=way_to_the_quad&utm_term=nick&utm_content=campaign_1,https://bit.ly/2Y1EoJf,1889164001,Peg Keough
https://app.leveredge.org/refinance-campaign,email,organic,hls,how_negotiate,2,https://app.leveredge.org/refinance-campaign?utm_source=email&utm_medium=organic&utm_campaign=hls&utm_term=how_negotiate&utm_content=2,https://bit.ly/350YODy,,
https://app.leveredge.org/refinance-campaign,email,organic,hls,seat_table,3,https://app.leveredge.org/refinance-campaign?utm_source=email&utm_medium=organic&utm_campaign=hls&utm_term=seat_table&utm_content=3,https://bit.ly/3cNzjbQ,,
https://app.leveredge.org/refinance-campaign,email,organic,gwl,how_negotiate,2,https://app.leveredge.org/refinance-campaign?utm_source=email&utm_medium=organic&utm_campaign=gwl&utm_term=how_negotiate&utm_content=2,https://bit.ly/2S42oHL,,
https://app.leveredge.org/refinance-campaign,email,organic,gwl,seat_table,3,https://app.leveredge.org/refinance-campaign?utm_source=email&utm_medium=organic&utm_campaign=gwl&utm_term=seat_table&utm_content=3,https://bit.ly/2KuXnUB,,
https://leveredge.org/,email,organic,generic_pdf,faq,1,https://leveredge.org/?utm_source=email&utm_medium=organic&utm_campaign=generic_pdf&utm_term=faq&utm_content=1,https://bit.ly/34ZWlJM,,
https://leveredge.org/,email,organic,generic_pdf,overview,1,https://leveredge.org/?utm_source=email&utm_medium=organic&utm_campaign=generic_pdf&utm_term=overview&utm_content=1,https://bit.ly/2KxjLwM,,
https://leveredge.org/,email,up_partner,cfc_member_email,nick,1_leveredge,https://leveredge.org/?utm_source=email&utm_medium=up_partner&utm_campaign=cfc_member_email&utm_term=nick&utm_content=1_leveredge,https://bit.ly/2yJgesp,2014020108,College Funding
https://leveredge.org/,email,up_partner,cfc_member_email,nick,2_add_your_email,https://leveredge.org/?utm_source=email&utm_medium=up_partner&utm_campaign=cfc_member_email&utm_term=nick&utm_content=2_add_your_email,https://bit.ly/3aJQ1at,2014020108,College Funding
https://leveredge.org/,email,up_partner,cfc_member_email,nick,3_learn_more,https://leveredge.org/?utm_source=email&utm_medium=up_partner&utm_campaign=cfc_member_email&utm_term=nick&utm_content=3_learn_more,https://bit.ly/2VIxkQj,2014020108,College Funding
https://leveredge.org/,twitter,cpc,jona_ad,experiment,50,https://leveredge.org/?utm_source=twitter&utm_medium=cpc&utm_campaign=jona_ad&utm_term=experiment&utm_content=50,https://bit.ly/35hFMcs,,
https://leveredge.org/,referral,up_partner,cfc_blog_post,nick,1_partner_intro,https://leveredge.org/?utm_source=referral&utm_medium=up_partner&utm_campaign=cfc_blog_post&utm_term=nick&utm_content=1_partner_intro,https://bit.ly/2VYQ250,2014020108,College Funding
https://leveredge.org/,referral,up_partner,cfc_blog_post,nick,2_add_voice,https://leveredge.org/?utm_source=referral&utm_medium=up_partner&utm_campaign=cfc_blog_post&utm_term=nick&utm_content=2_add_voice,https://bit.ly/357OpGq,2014020108,College Funding
https://leveredge.org/,referral,up_partner,cfc_blog_post,nick,3_final_leveredge,https://leveredge.org/?utm_source=referral&utm_medium=up_partner&utm_campaign=cfc_blog_post&utm_term=nick&utm_content=3_final_leveredge,https://bit.ly/2KBLyfd,2014020108,College Funding
https://leveredge.org/,email,up_partner,Columbia_TBA,nick,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=up_partner&utm_campaign=Columbia_TBA&utm_term=nick&utm_content=campaign_1,https://bit.ly/2SgboKh,,Business Technology Association
https://leveredge.org/,twitter,up_partner,cfc_social,nick,1_post,https://leveredge.org/?utm_source=twitter&utm_medium=up_partner&utm_campaign=cfc_social&utm_term=nick&utm_content=1_post,https://bit.ly/3aPAINj,2014020108,
https://leveredge.org/,facebook,up_partner,cfc_social,nick,1_post,https://leveredge.org/?utm_source=facebook&utm_medium=up_partner&utm_campaign=cfc_social&utm_term=nick&utm_content=1_post,https://bit.ly/2xk2T9G,2014020108,
https://leveredge.org/,email,std_grp_prspct,ucla_anderson,helene,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=std_grp_prspct&utm_campaign=ucla_anderson&utm_term=helene&utm_content=campaign_1,https://bit.ly/2YqepeX,1943035996,
https://leveredge.org/,email,std_grp_prspct,northwestern_med,helene,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=std_grp_prspct&utm_campaign=northwestern_med&utm_term=helene&utm_content=campaign_1,https://bit.ly/2KHnI1R,1942579961,
https://leveredge.org/,facebook,std_grp_prspct,RIC,helene,campaign_1,https://leveredge.org/?utm_source=facebook&utm_medium=std_grp_prspct&utm_campaign=RIC&utm_term=helene&utm_content=campaign_1,https://bit.ly/3cTZ9L9,1943122146,
https://leveredge.org/,email,up_partner,Hartford_Brothersandsisters,nick,campaign_2,https://leveredge.org/?utm_source=email&utm_medium=up_partner&utm_campaign=Hartford_Brothersandsisters&utm_term=nick&utm_content=campaign_2,https://bit.ly/2VNmV5N,2014711044,Brothers and Sisters United
https://leveredge.org/,email,up_partner,high_school_guidance_counselors,nick_helene,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=up_partner&utm_campaign=high_school_guidance_counselors&utm_term=nick_helene&utm_content=campaign_1,https://bit.ly/2YofrYR,,
https://leveredge.org/leveredge-w-scholarship-2020,email,up_partner,high_school_guidance_counselors,nick_helene,2020_scholarship,https://leveredge.org/leveredge-w-scholarship-2020?utm_source=email&utm_medium=up_partner&utm_campaign=high_school_guidance_counselors&utm_term=nick_helene&utm_content=2020_scholarship,https://bit.ly/3cXDuS9,,
https://leveredge.org/,instagram,organic,bio,suraiya,2020,https://leveredge.org/?utm_source=instagram&utm_medium=organic&utm_campaign=bio&utm_term=suraiya&utm_content=2020,https://bit.ly/2WuqA7C,,instagram.com/leveredge
https://leveredge.org/,twitter,organic,bio,suraiya,2020,https://leveredge.org/?utm_source=twitter&utm_medium=organic&utm_campaign=bio&utm_term=suraiya&utm_content=2020,https://bit.ly/35xj7IZ,,twitter.com/get_leveredge
https://leveredge.org/,email,up_partner,PCOM,helene,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=up_partner&utm_campaign=PCOM&utm_term=helene&utm_content=campaign_1,https://bit.ly/35j5DjW,1926690994,
https://app.leveredge.org/financial-aid-tracker,email,up_partner,forte,launch_email,fin_aid,https://app.leveredge.org/financial-aid-tracker?utm_source=email&utm_medium=up_partner&utm_campaign=forte&utm_term=launch_email&utm_content=fin_aid,https://bit.ly/3d5Z8E9,,
https://app.leveredge.org/financial-aid-tracker,email,up_partner,forte,connect_post,fin_aid,https://app.leveredge.org/financial-aid-tracker?utm_source=email&utm_medium=up_partner&utm_campaign=forte&utm_term=connect_post&utm_content=fin_aid,https://bit.ly/2yez7nd,,
https://leveredge.org/,email,p_partner,Higheredhustle,nick,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=p_partner&utm_campaign=Higheredhustle&utm_term=nick&utm_content=campaign_1,https://bit.ly/35gvRns,2014698359,Higher Ed Hustle
https://leveredge.org/,email,up_partner,university_of_chicago_law_school,helene,campaign_1,https://leveredge.org/?utm_source=email&utm_medium=up_partner&utm_campaign=university_of_chicago_law_school&utm_term=helene&utm_content=campaign_1,https://bit.ly/2Yk9lZj,1951160417,
